siren;trancheEffectifsEtablissement;anneeEffectifsEtablissement;trancheEffectifsEtablissement_texte
775688229;41.0;2017.0;500 à 999 salariés
775690621;52.0;2017.0;5 000 à 9 999 salariés
775694730;51.0;2017.0;2 000 à 4 999 salariés
775694995;41.0;2017.0;500 à 999 salariés
775700198;42.0;2017.0;1 000 à 1 999 salariés
775701477;42.0;2017.0;1 000 à 1 999 salariés
775701758;41.0;2017.0;500 à 999 salariés
775703390;41.0;2017.0;500 à 999 salariés
775709702;51.0;2017.0;2 000 à 4 999 salariés
775713662;41.0;2017.0;500 à 999 salariés
775715592;41.0;2017.0;500 à 999 salariés
775718216;41.0;2017.0;500 à 999 salariés
775722879;41.0;2017.0;500 à 999 salariés
775722879;41.0;2017.0;500 à 999 salariés
775726417;51.0;2017.0;2 000 à 4 999 salariés
775729155;42.0;2017.0;1 000 à 1 999 salariés
775729155;41.0;2017.0;500 à 999 salariés
775733835;41.0;2017.0;500 à 999 salariés
775741101;51.0;2017.0;2 000 à 4 999 salariés
775761067;41.0;2017.0;500 à 999 salariés
776056467;41.0;2017.0;500 à 999 salariés
776179335;41.0;2017.0;500 à 999 salariés
776221467;42.0;2017.0;1 000 à 1 999 salariés
776283202;41.0;2017.0;500 à 999 salariés
776531568;41.0;2017.0;500 à 999 salariés
776916207;42.0;2017.0;1 000 à 1 999 salariés
776926370;42.0;2017.0;1 000 à 1 999 salariés
776938599;41.0;2017.0;500 à 999 salariés
776950396;41.0;2017.0;500 à 999 salariés
776950404;42.0;2017.0;1 000 à 1 999 salariés
776950446;41.0;2017.0;500 à 999 salariés
776983546;42.0;2017.0;1 000 à 1 999 salariés
777380783;41.0;2017.0;500 à 999 salariés
777456179;42.0;2017.0;1 000 à 1 999 salariés
777629288;41.0;2017.0;500 à 999 salariés
777749326;41.0;2017.0;500 à 999 salariés
777749375;41.0;2017.0;500 à 999 salariés
777863820;41.0;2017.0;500 à 999 salariés
777903816;42.0;2017.0;1 000 à 1 999 salariés
777907684;41.0;2017.0;500 à 999 salariés
778073387;41.0;2017.0;500 à 999 salariés
778127613;41.0;2017.0;500 à 999 salariés
778127613;42.0;2017.0;1 000 à 1 999 salariés
778127613;41.0;2017.0;500 à 999 salariés
778127613;41.0;2017.0;500 à 999 salariés
778134601;42.0;2017.0;1 000 à 1 999 salariés
778137877;41.0;2017.0;500 à 999 salariés
778204271;41.0;2017.0;500 à 999 salariés
778213322;41.0;2017.0;500 à 999 salariés
778596502;41.0;2017.0;500 à 999 salariés
778853309;41.0;2017.0;500 à 999 salariés
778950550;41.0;2017.0;500 à 999 salariés
778950550;41.0;2017.0;500 à 999 salariés
778971424;41.0;2017.0;500 à 999 salariés
779213867;41.0;2017.0;500 à 999 salariés
779311448;41.0;2017.0;500 à 999 salariés
779456367;41.0;2017.0;500 à 999 salariés
779555887;41.0;2017.0;500 à 999 salariés
779827047;41.0;2017.0;500 à 999 salariés
779838366;41.0;2017.0;500 à 999 salariés
779868728;41.0;2017.0;500 à 999 salariés
